LGTD,LTTD,DRP
118.029167,41.528056,14.8
117.743963,41.322940,19.4
117.561111,41.665556,5.2
117.456276,41.591594,23.0
117.634200,41.590300,0.0
117.460071,41.697822,4.4
117.832778,41.639722,15.0
117.527110,41.585862,16.4
117.820000,41.239722,20.2
117.268045,41.708989,15.0
117.889722,41.566667,3.8
117.762623,41.380946,8.8
117.693333,41.247500,37.0
118.010190,41.444215,3.2
117.683611,41.542222,11.8
117.709647,41.325091,10.6
117.546900,41.523100,0.0
118.106414,41.458386,3.0
117.853900,41.560800,0.0
117.090202,41.597816,3.6
117.514722,41.490000,16.8
117.327528,41.375832,9.4
117.830000,41.513611,16.2
117.596110,41.498394,9.8
117.665600,41.485600,0.0
117.977184,41.182710,0.0
117.458611,41.720000,7.6
117.634444,41.513056,23.2
117.611046,41.464984,1.0
117.448889,41.438611,27.2
117.623481,41.702550,8.8
117.105000,41.550556,12.2
117.186691,41.601903,6.0
117.812778,41.415556,12.6
117.961401,41.290959,2.6
117.715278,41.422500,0.0
117.531040,41.410881,17.0
117.700000,41.310300,0.0
118.100173,41.412506,9.2
117.704500,41.308900,0.0
117.867500,41.256700,0.0
117.557222,41.215278,20.2
117.334167,41.783056,4.4
117.199167,41.568333,36.8
117.400000,41.745000,6.4
117.308100,41.715000,0.0
117.953333,41.660556,11.8
116.904444,41.671389,11.8
117.441667,41.578056,0.0
117.635000,41.400833,96.0
117.355556,41.317500,17.6
117.530556,41.306389,31.0
117.406667,41.290278,12.6
117.367500,41.189722,21.2
117.327222,41.706667,30.8
118.111111,41.530833,14.6
118.117500,41.524167,44.2
118.183300,41.600100,0.0
118.036111,41.581667,16.5
118.216111,41.529167,50.2
118.140278,41.509444,19.8
117.106400,41.480600,0.0
118.131111,41.470278,20.8
118.129167,41.442500,26.6
118.039444,41.436667,9.0
117.474722,41.383611,16.6
117.943900,41.411400,0.0
117.955556,41.427500,9.0
117.830000,41.325000,24.8
117.873333,41.318611,13.0
117.867500,41.256700,0.0
117.636908,41.455361,0.0
117.999307,41.479075,0.0
117.940576,41.510286,0.0
117.775153,41.246302,0.0
117.872945,41.346927,0.0
117.903732,41.243560,0.0
117.771935,41.479224,0.0
116.897240,41.779663,0.0
117.327492,41.586348,0.0
117.627891,40.972733,0.0
117.680850,41.089903,0.0
117.518568,40.978044,0.0
117.440833,41.187222,27.0
117.441245,41.089669,0.0
117.629528,41.136600,0.0
117.505925,41.193133,0.0
117.438333,41.185555,0.0
117.530862,41.139466,0.0
117.535319,40.917313,0.0
117.637573,40.902035,0.0
117.563620,40.846175,0.0
117.603333,41.174444,37.0
117.475452,40.917348,0.0
117.421303,41.033687,0.0
117.421280,40.993059,0.0
117.444738,40.796110,0.0
117.630859,40.527952,0.0
117.668889,41.150833,0.0
117.744905,41.192703,0.0
117.485161,40.884478,0.0
117.718089,41.054233,0.0
117.648360,41.111159,0.0
117.464722,41.127500,19.0
117.494040,40.715131,0.0
117.495128,41.094822,0.0
117.559722,41.094444,25.5
117.557409,41.053688,0.0
117.343889,41.035278,0.0
117.430927,41.200758,0.0
117.445278,40.922500,19.5
117.449595,40.839443,0.0
117.332222,40.936944,12.0
117.430004,40.871995,0.0
117.359722,40.882222,12.5
117.090308,40.716351,0.0
117.375000,40.830000,5.0
117.192575,40.751950,0.0
117.460833,40.850000,9.5
117.705896,41.087735,0.0
117.707500,40.813611,79.0
117.246944,40.791400,0.0
116.913055,40.841666,0.0
117.652028,40.945830,0.0
117.809482,41.156785,0.0
117.815220,41.007355,0.0
117.778770,40.822212,0.0
117.713867,40.959644,0.0
